gene_name,HA,PD,YG
A2M,0.477217411354598,0.0992748395756075,-0.257210217450737
AAK1,0.226300395596541,0.26920815302008,0.862940596102853
AARS,0.646842759786928,0.325519688435147,-0.988239125610999
AASDHPPT,-0.0703813042275834,0.034330051585682,0.0231944401867159
ABAT,0.65602600124074,-0.135510305261402,0.848215647199506
ABCA2,0.271527516311938,0.327479148344977,0.59992693570505
ABCB8,0.257082585536209,-0.024254360243768,-0.0711911440220719
ABCD3,0.44822005148829,0.382318759056739,0.75133249007304
ABCE1,0.418064065078603,0.30350105040385,0.944995366762525
ABHD10,-0.345389111193328,0.00271934413531997,-0.585175528775433
ABHD12,-0.222285788033651,0.208455737627025,-0.111044468457224
ABHD16A,-0.102700986995278,-0.363891173750037,0.812265249593626
ABI2,0.216056072243153,-0.508757790587245,0.235597473363873
ABLIM1,0.164473582539943,0.0989546277168514,-0.028467345352672
ABLIM2,0.102272636576076,-0.0113555075701987,0.436635222660146
ACAA1,0.369491706428033,-0.175019488556226,-0.00834908639800533
ACAA2,-0.546098981826212,-0.152578978601248,0.521340568641529
ACACA,0.252827226121436,-0.418242084269109,-0.106353883729269
ACADM,0.0596615035069688,0.0652445122309094,0.0329961987677352
ACADSB,0.787893224590699,-0.0226688046482216,0.558136624925988
ACADVL,-0.645058330549379,0.143710093411832,0.137757931498358
ACAT1,0.120369283263161,0.0186795317721402,0.532682089375536
ACAT2,0.598311666248195,0.0930444456692776,0.875296129338564
ACBD7,0.0707217184903719,-0.0084700398309245,-0.781812012234886
ACIN1,0.1168633576815,0.432018322515403,-0.285727141186432
ACLY,0.184640718996531,0.084103455895302,0.705274050765677
ACO1,0.421136556049984,0.374201211723904,0.173226580786878
ACO2,0.047757630761958,0.333625090821914,0.33152434618411
ACOT13,0.783727292979468,-0.242356660528705,0.40602192022027
ACOT7,0.519682271552731,0.360417493987148,-0.278421522476254
ACOX1,0.688000831548442,-0.25164985342751,-0.66681169718035
ACP1,0.154777911283676,-0.31916551732504,-0.999407926244833
ACSF3,-0.457755850068991,0.202438928393335,0.907194521901179
ACSL1,-0.0212071646511696,-0.175279578266221,0.85752090160187
ACSL3,-0.00087351851952238,-0.604823741923537,0.729087284454752
ACSL6,0.691470670138966,0.340066165809895,0.575580071704438
ACSS1,-0.430051894097845,0.0777840970368796,0.840357575717999
ACSS3,-0.332296974196334,0.377728197598494,0.0663336488972022
ACTB,0.25686357804253,0.173779470136091,-0.339376260858054
ACTL6B,0.180159951909745,-0.0816379711632901,0.957179442301269
ACTN1,-0.233348207166362,-0.197144431313122,0.889293378356878
ACTN2,-0.477068302865749,-0.131571241047582,-0.139379346824207
ACTN4,0.193482689101796,0.48671707916259,0.623624711371122
ACTR10,0.106880253072826,-0.148876752342725,0.41897900128029
ACTR1B,0.733358894659051,-0.0112311435383333,-0.61043496454014
ACTR2,-0.43383886136098,0.00944419630043433,-0.606962021264013
ACTR3,-0.565659546320666,-0.275416047032368,0.582353460199546
ACTR3B,-0.3976626986641,-0.0262112356666561,0.314346015190804
ACYP2,0.379176904591172,0.40754537593484,0.0202873450215033
ADAM10,0.202274069207147,0.651824864019765,0.410332728808836
ADAM11,-0.760318242057546,-0.458605668553575,0.138814539980494
ADAM22,0.256087655610079,0.137778303561487,0.135738074195424
ADAM23,-0.158689673941696,0.177529495676249,0.651854496743023
ADCY1,-0.466805429198396,-0.28626251145771,0.909552219485286
ADCY2,0.192079122996067,0.225848439254429,-0.158900868468246
ADD1,-0.224632938222228,0.284200716827466,0.719444399418923
ADD2,0.204482724764849,0.00870853688757263,-0.732458184947132
ADD3,0.481400177595172,0.544555671815577,0.188351667482543
ADH5,-0.353975765228603,0.113397208638863,0.890492813484137
ADO,-0.102083519241258,0.0757377555135071,0.130809504043793
