complex	gene_id	gene_name	class	family 
complex IV	ENSG00000156885	COX6A2	subunit	
complex IV	ENSG00000126267	COX6B1	subunit	
complex IV	ENSG00000160471	COX6B2	subunit	
complex IV	ENSG00000164919	COX6C	subunit	
complex IV	ENSG00000161281	COX7A1	subunit	
complex IV	ENSG00000112695	COX7A2	subunit	
complex IV	ENSG00000131174	COX7B	subunit	
complex IV	ENSG00000170516	COX7B2	subunit	
complex IV	ENSG00000127184	COX7C	subunit	
complex IV	ENSG00000176340	COX8A	subunit	
complex IV	ENSG00000187581	COX8C	subunit	
complex IV	ENSG00000189043	NDUFA4	subunit (alias COXFA4)	
complex IV	ENSG00000187118	CMC1	assembly factor	
complex IV	ENSG00000106603	COA1	assembly factor	
complex IV	ENSG00000183978	COA3	assembly factor	
complex IV	ENSG00000181924	COA4	assembly factor	
complex IV	ENSG00000183513	COA5	assembly factor	
complex IV	ENSG00000168275	COA6	assembly factor	
complex IV	ENSG00000162377	COA7	assembly factor	
complex IV	ENSG00000166260	COX11	assembly factor	
complex IV	ENSG00000178449	COX14	assembly factor	
complex IV	ENSG00000133983	COX16	assembly factor	
complex IV	ENSG00000138495	COX17	assembly factor	
complex IV	ENSG00000163626	COX18	assembly factor	
complex IV	ENSG00000240230	COX19	assembly factor	
complex IV	ENSG00000203667	COX20	assembly factor	
complex IV	ENSG00000155463	OXA1L	assembly factor	
complex IV	ENSG00000133028	SCO1	assembly factor	
complex IV	ENSG00000130489	SCO2	assembly factor	
complex IV	ENSG00000148290	SURF1	assembly factor	
complex IV	ENSG00000144120	TMEM177	assembly factor	
complex IV	ENSG00000229833	PET100	assembly factor	
complex IV	ENSG00000232838	PET117	assembly factor	
complex IV	ENSG00000006695	COX10	essential for biosynthesis of heme O	
complex IV	ENSG00000014919	COX15	essential for biosynthesis of heme A	
complex IV	ENSG00000103121	CMC2	putative assembly factor	
complex V	ENSG00000198899	MT-ATP6	subunit	mtDNA encoded
complex V	ENSG00000228253	MT-ATP8	subunit	mtDNA encoded
complex V	ENSG00000152234	ATP5F1A	subunit	
complex V	ENSG00000110955	ATP5F1B	subunit	
complex V	ENSG00000099624	ATP5F1D	subunit	
complex V	ENSG00000124172	ATP5F1E	subunit	
complex V	ENSG00000165629	ATP5F1C	subunit	
complex V	ENSG00000241837	ATP5PO	subunit	
complex V	ENSG00000116459	ATP5PB	subunit	
complex V	ENSG00000159199	ATP5MC1	subunit	
complex V	ENSG00000135390	ATP5MC2	subunit	
complex V	ENSG00000154518	ATP5MC3	subunit	
complex V	ENSG00000167863	ATP5PD	subunit	
complex V	ENSG00000169020	ATP5ME	subunit	
complex V	ENSG00000241468	ATP5MF	subunit	
complex V	ENSG00000154723	ATP5PF	subunit	
complex V	ENSG00000167283	ATP5MG	subunit	
complex V	ENSG00000130770	ATP5IF1	subunit	
complex V	ENSG00000156411	ATP5MPL	subunit	
complex V	ENSG00000173915	ATP5MD	subunit	
complex V	ENSG00000123472	ATPAF1	assembly factor	
complex V	ENSG00000171953	ATPAF2	assembly factor	
complex V	ENSG00000175606	TMEM70	assembly factor	
complex V	ENSG00000125375	DMAC2L	assembly factor	
coenzyme Q	ENSG00000163050	ADCK3	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000123815	ADCK4	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000173085	COQ2	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000132423	COQ3	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000167113	COQ4	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000110871	COQ5	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000119723	COQ6	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000167186	COQ7	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000088682	COQ9	biosynthesis of coenzyme Q (ubiquinone)	
coenzyme Q	ENSG00000135469	COQ10A	Required for the function of coenzyme Q in the respiratory chain	
coenzyme Q	ENSG00000115520	COQ10B	Required for the function of coenzyme Q in the respiratory chain	
cytochrome c	ENSG00000172115	CYCS	cytochrome c	
cytochrome c	ENSG00000179091	CYC1	cytochrome c	
cytochrome c	ENSG00000004961	HCCS	cytochrome c assembly	
				
				
Function unclear				
NA	ENSG00000063761	ADCK1		
NA	ENSG00000133597	ADCK2		
NA	ENSG00000173137	ADCK5		
